FID IID FATHER_ID MOTHER_ID proband parental
21_149 21_149_0 NA NA -0.2277553 -1.7520751
21_149 21_149_1 NA NA -1.2377696 -1.7520751
21_150 21_150_0 NA NA -2.5494404 -3.4599779
21_150 21_150_1 NA NA -2.2312071 -3.4599779
21_151 21_151_0 NA NA -0.8910478 -0.84953123
21_151 21_151_1 NA NA -0.34117645 -0.84953123
21_152 21_152_0 NA NA -2.2654698 -3.4400678
21_152 21_152_1 NA NA -2.4452813 -3.4400678
21_153 21_153_0 NA NA -2.6118836 -4.626414
21_153 21_153_1 NA NA -3.3924115 -4.626414
21_154 21_154_0 NA NA -1.6233659 -2.9628155
21_154 21_154_1 NA NA -1.9960468 -2.9628155
21_155 21_155_0 NA NA -2.658116 -2.7675753
21_155 21_155_1 NA NA -0.6838116 -2.7675753
21_156 21_156_0 NA NA -1.2360866 -1.1810161
21_156 21_156_1 NA NA -0.6609905 -1.1810161
21_157 21_157_0 NA NA 0.23916285 -0.8159133
21_157 21_157_1 NA NA -1.9769733 -0.8159133
21_158 21_158_0 NA NA -2.329787 -1.8208953
21_158 21_158_1 NA NA -0.71049243 -1.8208953
21_159 21_159_0 NA NA -0.825966 -1.1230267
21_159 21_159_1 NA NA -1.6080842 -1.1230267
21_160 21_160_0 NA NA 0.2691573 0.25501254
21_160 21_160_1 NA NA 0.07762268 0.25501254
21_161 21_161_0 NA NA -1.8691169 -2.0959687
21_161 21_161_1 NA NA -1.4145159 -2.0959687
21_162 21_162_0 NA NA -0.72081476 -1.196464
21_162 21_162_1 NA NA -0.60235626 -1.196464
21_163 21_163_0 NA NA -6.0174083e-05 -1.1582458
21_163 21_163_1 NA NA -0.7593333 -1.1582458
21_164 21_164_0 NA NA -2.2649777 -2.9353862
21_164 21_164_1 NA NA -1.6861945 -2.9353862
21_165 21_165_0 NA NA -1.2182385 -1.2085673
21_165 21_165_1 NA NA 0.5046091 -1.2085673
21_166 21_166_0 NA NA -1.917278 -2.1250694
21_166 21_166_1 NA NA -1.0417917 -2.1250694
21_167 21_167_0 NA NA -1.6051297 -2.7680628
21_167 21_167_1 NA NA -1.854586 -2.7680628
21_168 21_168_0 NA NA -2.5180538 -3.608796
21_168 21_168_1 NA NA -2.0355172 -3.608796
21_169 21_169_0 NA NA -0.2718672 0.2380878
21_169 21_169_1 NA NA 0.6640693 0.2380878
21_170 21_170_0 NA NA -2.7525382 -1.7420685
21_170 21_170_1 NA NA -0.17108274 -1.7420685
21_171 21_171_0 NA NA -0.19544765 -0.961109
21_171 21_171_1 NA NA -0.74483085 -0.961109
21_172 21_172_0 NA NA -0.10626613 -1.4280221
21_172 21_172_1 NA NA -1.9734648 -1.4280221
21_173 21_173_0 NA NA -0.9286615 -1.8444973
21_173 21_173_1 NA NA -1.015242 -1.8444973
21_174 21_174_0 NA NA 0.098334365 0.022297699
21_174 21_174_1 NA NA 0.2579946 0.022297699
21_175 21_175_0 NA NA -0.63881665 -2.1195776
21_175 21_175_1 NA NA -1.7075906 -2.1195776
21_176 21_176_0 NA NA -1.3163254 -2.1668327
21_176 21_176_1 NA NA -1.3043337 -2.1668327
21_177 21_177_0 NA NA -0.74978584 -0.2014894
21_177 21_177_1 NA NA -0.3056435 -0.2014894
21_178 21_178_0 NA NA -0.9771699 -0.9718314
21_178 21_178_1 NA NA -0.51882887 -0.9718314
21_179 21_179_0 NA NA -1.3812125 -2.3493624
21_179 21_179_1 NA NA -2.116127 -2.3493624
21_180 21_180_0 NA NA -1.8321123 -3.1130412
21_180 21_180_1 NA NA -1.6406004 -3.1130412
21_181 21_181_0 NA NA -0.016903138 -1.635587
21_181 21_181_1 NA NA -0.7788321 -1.635587
21_182 21_182_0 NA NA -1.1457598 -2.707783
21_182 21_182_1 NA NA -1.5843688 -2.707783
21_183 21_183_0 NA NA -0.9450672 -1.2227067
21_183 21_183_1 NA NA -0.023788247 -1.2227067
21_184 21_184_0 NA NA -0.31268734 -0.08228712
21_184 21_184_1 NA NA 0.09712266 -0.08228712
21_185 21_185_0 NA NA -2.2206602 -2.6695542
21_185 21_185_1 NA NA -1.2337613 -2.6695542
21_186 21_186_0 NA NA -0.52018356 -1.0805972
21_186 21_186_1 NA NA -0.18752056 -1.0805972
21_187 21_187_0 NA NA 0.2579963 -1.1215602
21_187 21_187_1 NA NA -1.4723465 -1.1215602
21_188 21_188_0 NA NA -1.507789 -1.9893169
21_188 21_188_1 NA NA -1.0764846 -1.9893169
21_189 21_189_0 NA NA -0.75066197 -0.71048343
21_189 21_189_1 NA NA -0.7507459 -0.71048343
21_190 21_190_0 NA NA -1.0789161 -1.496019
21_190 21_190_1 NA NA -0.9724291 -1.496019
21_191 21_191_0 NA NA -0.7319299 -1.9251513
21_191 21_191_1 NA NA -1.7175704 -1.9251513
21_192 21_192_0 NA NA -2.5970633 -3.6954904
21_192 21_192_1 NA NA -1.9151958 -3.6954904
21_193 21_193_0 NA NA -1.1694804 -1.0169778
21_193 21_193_1 NA NA -0.5542129 -1.0169778
21_194 21_194_0 NA NA -1.470549 -1.9213481
21_194 21_194_1 NA NA -1.3610609 -1.9213481
21_195 21_195_0 NA NA -2.3767085 -2.6318173
21_195 21_195_1 NA NA -1.4624308 -2.6318173
21_196 21_196_0 NA NA -0.5743266 -1.2417288
21_196 21_196_1 NA NA -0.57946044 -1.2417288
